pe,latency_ms_mean,latency_ms_std,success_rate,deadline_ok
0,8.5592,2.22045e-13,1,1
0.00625,8.7392,0.857671,1,1
0.0125,8.9432,1.23796,1,1
0.01875,9.1232,1.56522,1,1
0.025,9.3152,1.74942,1,1
0.03125,9.4732,1.94849,1,1
0.0375,9.6752,2.13975,1,1
0.04375,9.8652,2.3423,1,1
0.05,10.0652,2.48434,1,1
0.05625,10.2952,2.74705,1,1
0.0625,10.5392,2.94747,1,1
0.06875,10.5992,2.99306,1,1
0.075,10.8192,3.09264,1,1
0.08125,11.1072,3.24032,1,1
0.0875,11.3492,3.52589,1,1
0.09375,11.4312,3.66273,1,1
0.1,11.6632,3.65256,1,1
0.10625,11.9912,3.96956,1,1
0.1125,12.1072,3.96834,1,1
0.11875,12.2092,3.91478,1,1
0.125,12.5712,4.20284,1,1
0.13125,12.8312,4.45129,1,1
0.1375,12.8612,4.50742,1,1
0.14375,13.2912,4.69981,1,1
0.15,13.6252,4.89159,1,1
0.15625,13.6972,4.82421,1,1
0.1625,14.0112,5.10565,1,1
0.16875,14.2232,5.226,1,1
0.175,14.2892,5.13878,1,1
0.18125,14.7132,5.4222,1,1
0.1875,15.0912,5.73733,1,1
0.19375,15.1872,5.58906,1,1
0.2,15.6952,5.92263,1,1
0.20625,15.9772,6.04295,1,1
0.2125,16.2632,6.3894,0.9995,1
0.21875,16.4432,6.34748,1,1
0.225,16.9492,6.80117,0.9995,1
0.23125,16.7932,6.46106,0.9995,1
0.2375,17.2172,6.81579,1,1
0.24375,17.3132,6.72425,1,1
0.25,17.5592,6.65793,0.9995,1
